trait_id	file_path	trait_name	n
ukb-b-14540	/local-scratch/data/opengwas/igd/ukb-b-14540/ukb-b-14540.vcf.gz	Whole body water mass	454888
ukb-b-14541	/local-scratch/data/opengwas/igd/ukb-b-14541/ukb-b-14541.vcf.gz	Diagnoses - main ICD10: K42.9 Umbilical hernia without obstruction or gangrene	463010
ukb-b-14547	/local-scratch/data/opengwas/igd/ukb-b-14547/ukb-b-14547.vcf.gz	Operative procedures - secondary OPCS: H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope	463010
ukb-b-14560	/local-scratch/data/opengwas/igd/ukb-b-14560/ukb-b-14560.vcf.gz	Sources of admission to hospital (recoded): Transfer to other NHS provider	461371
ukb-b-14576	/local-scratch/data/opengwas/igd/ukb-b-14576/ukb-b-14576.vcf.gz	Wears glasses or contact lenses	462254
ukb-b-14598	/local-scratch/data/opengwas/igd/ukb-b-14598/ukb-b-14598.vcf.gz	Intended management of patient (recoded): No overnight hospital stay	455026
ukb-b-14603	/local-scratch/data/opengwas/igd/ukb-b-14603/ukb-b-14603.vcf.gz	Diagnoses - main ICD10: R07.3 Other chest pain	463010
ukb-b-14609	/local-scratch/data/opengwas/igd/ukb-b-14609/ukb-b-14609.vcf.gz	Treatment/medication code: metformin	462933
ukb-b-14615	/local-scratch/data/opengwas/igd/ukb-b-14615/ukb-b-14615.vcf.gz	Operative procedures - secondary OPCS: Z27.3 Pylorus	463010
ukb-b-14624	/local-scratch/data/opengwas/igd/ukb-b-14624/ukb-b-14624.vcf.gz	Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce	459742
ukb-b-14632	/local-scratch/data/opengwas/igd/ukb-b-14632/ukb-b-14632.vcf.gz	Operative procedures - main OPCS: T20.9 Unspecified primary repair of inguinal hernia	463010
ukb-b-14639	/local-scratch/data/opengwas/igd/ukb-b-14639/ukb-b-14639.vcf.gz	Operative procedures - secondary OPCS: Y44.2 Monitoring of pressure in organ NOC	463010
ukb-b-1464	/local-scratch/data/opengwas/igd/ukb-b-1464/ukb-b-1464.vcf.gz	Number of depression episodes	58290
ukb-b-14640	/local-scratch/data/opengwas/igd/ukb-b-14640/ukb-b-14640.vcf.gz	Type of meals eaten: Takeaway meals	64949
ukb-b-14649	/local-scratch/data/opengwas/igd/ukb-b-14649/ukb-b-14649.vcf.gz	Invitation to physical activity study, acceptance	221015
ukb-b-14654	/local-scratch/data/opengwas/igd/ukb-b-14654/ukb-b-14654.vcf.gz	PCT where patients GP was registered: ROCHDALE PCT	463010
ukb-b-14664	/local-scratch/data/opengwas/igd/ukb-b-14664/ukb-b-14664.vcf.gz	3mm strong meridian (left)	95998
ukb-b-14670	/local-scratch/data/opengwas/igd/ukb-b-14670/ukb-b-14670.vcf.gz	Cylindrical power (left)	99071
ukb-b-14674	/local-scratch/data/opengwas/igd/ukb-b-14674/ukb-b-14674.vcf.gz	Diagnoses - main ICD10: N92.6 Irregular menstruation, unspecified	463010
